id_drug|profil|dose
0|adult|1-2 tablets, 3-4 times per day.
0|Children 6-12 years old|0.5-1 tablet, 3-4 times per day
1|all|3 x a day 1-2 chewable tablets
2|all|3 x a day @ 1 sachet
3|adult|3-4 times a day 1-2 measuring spoons 5-10 ml
3|Children 6-12 years old|3-4 times a day 12-1 measuring spoon 2.5-5 ml
4|all|3 x a day 1-2 chewable tablets
5|adult|1-2 measuring spoons 5-10 mL 3-4 times a day
5|Children 6 - 12 years old|12 - 1 measuring spoon 2.5 - 5 mL, 3-4 times a day
6|adult|1-2 tablets, given 3-4 times a day.
6|Children 6-12 years old|0.5-1 tablet, given 1-2 times a day
7|all|1-2 tablets per day
8|adult|3-4 times a day 5-10 ml
8|Children 6-12 years old|3-4 times a day 2.5-5 ml. Given 1-2 hours after eating and before bed
9|adult|3-4 x a day 1 - 2 Plantacid tablets
9|Children 6-12 years old|3-4 x daily 12 - 1 tablet Plantacid Plantacid Forte is given if a larger dose of antacid is needed
10|all|1-2 chewable tablets 3 times a day
11|adult|5 - 10 ml, taken 3-4 times per day
11|Children 6-12 years old|2.5 - 5 ml taken 3-4 times per day
12|adult|3-4 times a day 1-2 tablets
12|Child 4 years old|2 tablets per day
13|adult|1-2 measuring spoons 5-10 ml, 3-4 times a day
13|Children aged 6-12 years|1 measuring spoon 5 ml, 3-4 times a day
14|all|3 x a day 1 sachet
15|adult|3-4 x a day 1-2 sachets
15|children 6-12 years|12-1 sachets
16|Adult and 12 year old child|3-4 times a day 1-2 tablets
16|Children 6 - 12 years old|3 - 4 times a day 0.5 - 1 tablet. Or according to doctor's instructions
17|Adults and Children over 12 years old|10 ml measuring spoon 5 ml, given 3 times per day
17|Children 6-12 years old|5 ml 1 measuring spoon 5 ml, given 3 times per day
17|Children 2-6 years old|2.5 ml half a 5 ml measuring spoon, given 3 times per day
18|adult|3-4 x a day 1 tablespoon 15 ml
18|Children aged 7-12 years|3-4 x a day 12 tablespoons 15 ml
18|Children aged 2-6 years|3-4 x a day 1 teaspoon 5 ml
19|adult|1-2 measuring spoons every 3 hours, no more than 14 measuring spoons per day
19|Children 6-12 years old|12 - 1 measuring spoon every 3 hours, no more than 6 measuring spoons per day
20|adult|2 measuring spoons of 10 ml, 2-3 times per day
20|Children 2-4 years old|2-4 times a day, 200 mg/day
20|Children over 4 years old|300 mg/day
21|adult|3 x a day, 3 measuring spoons of 15 ml
21|Children 6-12 years old|3 x a day, 1 measuring spoon 5 ml
22|adult|2 measuring spoons of 10 ml, 3 times per day
22|Children 6-12 years old|1 measuring spoon 5 ml, 3 times per day
23|adult|3 x a day 1-2 tablespoons
23|Child|3 x a day 1-2 teaspoons
23|Baby|2 x a day 12 teaspoons. Or according to doctor's instructions
24|adult|3 x 1 Tablespoon 15 ml
24|Children 2 Years|3 x 12 Tablespoons 7.5 ml
25|Adult and 12 year old child|3 times per day 1 15ml measuring spoon
25|Children 7-12 years old|3 Times a day 23 measuring spoons 10ml
25|Children 3-6 years old|3 Times a day 13 5ml measuring spoons
26|adult|3 x a day 3 measuring spoons (15 ml)
26|Children|3 x a day 1 measuring spoon (5 ml)
27|adult|1-4 times a day, 2 sachets of 15 ml
28|adult|3-4 x a day 1 tablespoon 15 ml
28|Child|3-4 x a day 1 teaspoon 5 ml
29|Adult and 12 year old child|a day 3-4 times 3 teaspoons 15 ml
29|Children aged 6 - 12 years|a day 3-4 times 1 teaspoon 5 ml
29|Children 6 years old|According to doctor's instructions
30|Adults and children aged over 12 years|3 times a day 3 measuring spoons
30|Children aged 6 - 12 years|3 times a day 1.5 measuring spoons
31|adult|10 mL 3-4 x a day
31|Children 6-12 years old|5 mL 3-4 times a day
32|adult|3-4 times a day 2 measuring spoons 10 ml
32|Children 6-12 years old|3-4 times a day 1 measuring spoon 5 ml
33|Children 6-12 years old|5 ml, 3-4 times a day
33|adult|10 ml, 3-4 times a day
34|Adults and children over 12 years old|3 times a day, 1 measuring spoon 5 ml
34|Children 6 - 12 years old|3 times a day, 0.5 measuring spoons 2.5 ml
35|Adults and children over 10 years old|3 times a day 1 measuring spoon 5 ml
35|Children 5-10 years old|3 times a day 12 measuring spoons 2.5 ml
36|adult|12 years and over 2 measuring spoons 10 ml
36|Children|6-12 years 1 measuring spoon 5 ml
37|Adult and 12 year old child|3 x a day, 10 ml
37|Children 6-12 years old|3 x a day, 5 ml
38|adult|a day 2 - 4 teaspoons every 4 hours
39|Children 6-12 years old|5 mL 1 measuring spoon
39|Adult and 12 year old child|10 mL 2 measuring spoons Children 2-6 years Under doctor's instructions
40|adult|3 x a day 4 measuring spoons 20 ml
40|Children 6-12 years old|3 x a day, 2 measuring spoons of 10 ml or according to doctor's instructions
41|Adults and children aged over 12 years|3 times a day 3 measuring spoons
41|Children aged 6 - 12 years|3 times a day 1.5 measuring spoons
42|Children aged 6 - 12 years|3 times a day 1 measuring spoon 5 ml
42|adult|3 times a day 3 measuring spoons 15 ml
43|Children 2-5 years old|1 teaspoon (5 ml), 3 times a day
43|Children 6-12 years old|2 teaspoons (10 ml), 3 times a day
43|adult|4 teaspoons (20 ml), 3 times a day
44|adult|3 times a day 1 caplet
44|Children 6-12 years old|3 times a day 12 caplets
45|Children 6-12 years old|5 mL 1 measuring spoon
45|Adult and 12 year old child|10 mL 2 measuring spoons Children 2-6 years Under doctor's instructions
46|adult|3 x a day 4 measuring spoons 20 ml
46|Children 6-12 years old|3 x a day, 2 measuring spoons of 10 ml or according to doctor's instructions
47|Adults and children aged over 12 years|3 times a day 3 measuring spoons
47|Children aged 6 - 12 years|3 times a day 1.5 measuring spoons
48|Children aged 6 - 12 years|3 times a day 1 measuring spoon 5 ml
48|adult|3 times a day 3 measuring spoons 15 ml
49|adult|3 times a day 1 caplet
49|Children 6-12 years old|3 times a day 12 caplets
50|Adults and children over 12 years old|1 measuring spoon 5 ml, 3 times a day
50|Children aged 6-12 years|12 measuring spoons of 2.5 ml, 3 times a day
51|Adults and children over 12 years old|1 measuring spoon 5 ml, 3 times a day
51|Children aged 6-12 years|12 measuring spoons of 2.5 ml, 3 times a day
52|Adults and children over 12 years old|3 times a day 2 measuring spoons 10 ml
52|Children 6-12 years old|3 times a day 1 measuring spoon 5 ml Children 4-6 years 3 times a day 12 measuring spoons 2.5 ml
53|adult|1 tablespoon 15 ml, 3-4 times a day
53|Children|1 measuring spoon 5 ml, 3-4 times a day
54|Children 2 - 5 years old|1 measuring spoon 5 ml, 3 times a day
54|Children 6 - 12 years old|2 measuring spoons of 5 ml, 3 times a day
55|2-6 years|1 measuring spoon 5 mL
55|6-12 years|2 measuring spoons 10 mL
55|12 years and above|4 measuring spoons 20 mL
56|Children 6-12 years old|3 x 2 10 ml measuring spoons
57|Children|3 x a day 1-2 teaspoons 5-10 ml
58|Adult and Child 10 years old|3 x 10 ml per day
58|Children 5 - 10 years old|3 x 5 ml per day
58|Children 2 - 5 years old|2 x 5 ml per day
59|Children 5 - 10 years old|3 x 2 ml per day
59|Children 2 - 5 years old|2 x 2 ml per day
60|2-5 years|1 measuring spoon 3 times a day
60|6-12 years|2 measuring spoons 3 x a day
61|Children 6-12 years old|3 x 10 ml a day
62|aged 2-5 years|a day 3 x 5 ml
62|aged 6-12 years|3 x 10 ml a day
63|aged 6-12 years|3 x a day 2 measuring spoons (10 ml)
63|aged 2-6 years|3 x a day 2 measuring spoons (5 ml)
64|6-12 years|3 x a day 2 measuring spoons 10 ml
64|2-6 years|3 x a day 1 measuring spoon 5 ml
65|Children 6-12 years old|5 ml every 6-8 hours, maximum 4 doses in 24 hours
66|Children aged 2-6 years|According to doctor's instructions
66|Children aged 6-12 years|3 times a day 2 measuring spoons
67|Children aged 2 <6 years|according to doctor's instructions
67|Children aged 6-12 years|3 x a day 2 measuring spoons
68|Children 2-6 years old|3 times a day 1 measuring spoon 5 ml
68|Children 6-12 years old|3 times a day 2 measuring spoons 10 ml
69|Children aged 2-6 years|3x a day 1 measuring spoon 5 ml
69|Children aged 6-12 years|3x a day 2 measuring spoons 10 ml
70|under 6 years old|under the doctor's instructions
70|6-12 yrs|1 measuring spoon 5 ml 3x a day
70|over 12 years old|2 measuring spoons 10 ml 3x a day
71|Adult - Child 12 years old|3 x a day 2 measuring spoons
71|Children 6-12 years old|3x a day 1 measuring spoon
71|Children 2-6 years old|3 x a day measuring spoon
71|2 year old child|according to the doctor's instructions
72|2-5 years|3 x a day 2 measuring spoons 5 ml
72|6-12 years|3 x a day 2 measuring spoons 10 ml
73|Children 6-12 years old|10 mL 2 measuring spoons, 3 times a day
73|Adult and 12 year old child|20 mL 4 measuring spoons, 3 times a day
74|Age 2-6 years|12 2.5 ml measuring spoons 3 x a day
74|Over 6-12 years old|1 5 ml measuring spoon 3 x a day
74|Over 12 years old|2 10 ml measuring spoons 3 x a day
75|Adults and children over 12 years old|10 ml, three times a day
75|Children 6-12 years old|5 ml, three times a day
75|Children 2-5 years old|2.5 ml, three times a day
75|Children under 2 years old|under the doctor's instructions
76|Children 2-5 years old|2 x 0.4 ml 0.8 ml solution, three times a day
76|Children under 2 years old|under the doctor's instructions
77|Children aged 2-6 years|3 x a day 1/2 measuring spoon 2.5 ml
77|Children aged 6-12 years|3 x a day 1 measuring spoon 5 ml
77|Adult and 12 year old child|3 x a day 2 measuring spoons 10 ml
78|Adults & Children > 12 years|3 x 1 tablet a day
78|Children 6-12 years old|3 x 1/2 tablets a day
78|Children 2-6 years old|2 x 1/2 tablets a day
79|Adults and children over 14 years old|1 capsule 2-3 times a day is equivalent to 400-600 mg NAC a day
79|Children aged 6-14 years|1 capsule 2 times a day is equivalent to 400 mg NAChari
79|Children over 6 years old|1 capsule 3 times a day is equivalent to 600 mg NAChari
79|Children under 6 years old|consider the use of other appropriate preparations
80|adult|2-4 tablets every 4 hours maximum 24 tablets a day
80|Children 6 - 12 years old|1-2 tablets every 4 hours maximum 12 tablets a day
80|Children 2 - 6 years old|21 tablets every 4 hours maximum 6 tablets a day
81|Children 6-12 years old|12 caplets, 3 times a day
81|Adults over 12 years old|1 caplet, 3 times a day
82|adult|1 caplet 3 times a day
83|adult|1 caplet 13 times a day. Do not give to children under 12 years of age, unless directed by a doctor.
84|Children 6-12 years old|3 x a day 12 tablets
84|adult|3 times a day 1 tablet
85|Adult child 12 years|3 times a day, 1 caplet
85|Children 6-12 years old|3 caplets a day
86|adult|1 caplet, 3 times a day
86|Children 6-12 years old|1/2 caplet, 3 times a day
87|adult|1 caplet 3 times a day
88|adult|3 times a day 1 capsule
89|adult|1 tablet
89|Children 6-12 years old|12 tablets
90|Children 6-12 years old|3 x a day 1/2 caplet
90|adult|3 x a day 1 caplet
91|Adults and children over 12 years old|3-4 times a day 1 caplet
91|Children 6-12 years old|3-4 times a day 1/2 caplet
92|adult|1 tablet, 3x a day
92|Children 6-12 years old|1/2 tablet, 3 times a day
93|Adult and 12 year old child|1-2 caplets, 3 x a day
93|Children 6-12 years old|12 - 1 caplet, 3x daily
94|Adults and children over 12 years old|3 x a day 1-2 tablets
94|Children 6-12 years old|3 x a day 1 1/2-1 tablet
95|adult|3x a day 1-2 sachets
96|adult|3 x a day 1 tube bottle
96|Children|12 adult doses
97|Children aged 2-6 years|3 x a day 12 tubes
97|Children aged 6-12 years|3 x a day 1 tube
98|adult|3 x a day 1 sachet
98|Children|12 adult doses
99|adult|1 caplet 3 times a day
99|Children 6-12 years old|caplets 3 times a day
100|adult|1 tablet 3 times a day
100|Children 6-12 years old|1/2 tablet 3 times a day
101|adult|1 tablet, 3 times a day
102|Adults and children over 12 years old|1 caplet, 3-4 times a day
102|Children 6-12 years old|1 1/2 caplets, 3-4 times daily
103|adult|1 tablet, 3 x a day
103|Children 6-12 years old|1 1/2 tablets, 3 x daily
104|Adults and children over 12 years old|3 times 2 sachets a day
104|Children 6-12 years old|3 times 1 sachet a day
105|Children 6-12 years old|3x a day 1 sachet
106|adult|1 caplet 3 times a day
106|Children 6 - 12 years old|12 caplets 3 times a day
107|adult|1 tablet
107|Children 6-12 years old|12 tablets
108|adult|3 times a day 1 caplet
108|Children 6-12 years old|3 times a day 1½ caplets
109|adult|1 caplet, taken 3 times a day
109|Children aged 6-12 years|½ caplet, taken 3 times a day
110|Adults and children aged 12 years|1 caplet, 3 times a day
111|adult|1 tablet 3 - 4 times a day