id_obat|interaksi_obat
0|Aluminium hydroxide akan mengurangi absorpsi bermacam- macam vitamin Tetracyclin
1|Pemberian bersama dengan cimetidine atau tetracycline dapat mengurangi absorpsi cimetidine atau tetracycline
3|Pemberian bersama-sama dengan Cimetidine atau Tetracycline dapat mengurangi absorpsi obat tersebut
4|Pemberian bersama-sama dengan Cimetidine atau Tetracycline dapat mengurangi absorpsi obat tersebut
5|Kecuali atas anjuran dokter, jangan digunakan dalam 2 jam setelah mengkonsumsi obat lain terutama Simetidin Tetrasiklin hindari minuman yang mengandung asam sari buah, wine, dll karena dapat mempengaruhi penyerapan obat. Pasien harus berkonsultasi ke dokter sebelum menggunakan produk ini bersamaan dengan Raltegravir, Dolutegravir, Elvitegravir
6|Kecuali atas anjuran dokter, jangan digunakan dalam 2 jam setelah mengkonsumsi obat lain terutama Simetidin Tetrasiklin hindari minuman yang mengandung asam sari buah, wine, dll karena dapat mempengaruhi penyerapan obat. Pasien harus berkonsultasi ke dokter sebelum menggunakan produk ini bersamaan dengan Raltegravir, Dolutegravir, Elvitegravir
7|Konsumsi vitamin B6 di atas 5-10 mg per hari dapat mengurangi efektivitas levodopa
7|Mempengaruhi durasi altretamine dan meningkatkan fotosensitifitas yang diinduksi oleh amiodaron, dan mengurangi konsentrasi fenitoin
8|Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorbsi obat tersebut
9|Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorbsi obat tersebut
10|Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorpsi obal tersebut
11|Pemberian bersama-sama dengan simetidin atau tetrasiklin dapat mengurangi absorbsi obat tersebut
12|Penurunan efektivitas aspirin, cimetidine, pazopanib, digoxin, dan beberapa antibiotik, seperti ciprofloxacin, levofloxacin, tetracycline, doxycycline, cefuroxime, atau azithromycin
12|Peningkatan risiko terjadinya keracunan alumunium jika digunakan dengan vitamin D3
13|Pemberian bersama sama dengan simetidin atau tetrasiklin dapat mengurangi absorpsi obat tersebut
14|Penurunan penyerapan bifosfonat, digoxin, estramustine, zat besi, pazopanib, strontium, obat golongan tetrasiklin, obat golongan quinolone, atau obat tiroid, seperti levothyroxine
14|Penurunan efektivitas obat yang mengandung estrogen, misalnya pil KB
14|Peningkatan kadar magnesium dalam darah (hipermagnesemia) terutama pada penderita gangguan fungsi ginjal, jika digunakan dengan vitamin D3
17|Pemberian bersamaan dengan antibiotika (amoksisilin, sefuroksim, eritromisin, doksisiklin) akan meningkatkan konsentrasi antibiotika
18|Peningkatan efek antikolinergik dari MAOI yang berpotensi fatal
18|Peningkatan kadar phenytoin dalam darah sehingga meningkatkan risiko terjadinya keracunan obat
18|Peningkatan efek antimuskarinik dari antidepresan trisiklik
18|Peningkatan efek kantuk dan risiko terjadinya komplikasi jika digunakan dengan obat antinyeri golongan opioid, obat antiansietas, obat penenang, atau obat antipsikotik
19|Diphenhydramine HCI mengurangi efek oral antikoagulan melalui induksi enzim
19|Diphenhydramine HCl menghasilkan efek berbahaya bila diberikan bersama alkohol, hipnotik, sedatif, tranquilizer dan obat-obat yang menyebabkan depresi susunan saraf pusat
19|Diphenhydramine HCI dan Phenobarbital keduanya merupakan enzyme inducers, pemberian bersamaan mengurangi aktivitas antihistamin dan mengurangi aktivitas barbiturat
19|Diphenhydramine HCl meningkatkan efek kardiovaskuler dari Epinephrine dan Norepinephrine
19|Ammonium chloride menurunkan pH air kemih, sehingga mengurangi ekskresi Salicylic acid. Dengan demikian kadar Salicylic acid dalam darah meningkat
19|Ammonium chloride dengan Sulfonamide menyebabkan terbentuknya kristal dalam air kemih dan komplikasi karena terjadi penurunan pH air kemih
20|antitusif
20|tetrasiklin
20|nitrogliserin
21|Belum diketahui interaksi antarobat yang pasti terjadi jika Herbakof Herbal Cough Syrup 100 ml digunakan bersama obat, suplemen, atau ptoduk herbal lain
21|Agar aman, selalu konsultasikan dengan dokter jika Anda berencana mengonsumsi produk ini bersama obat lain
22|Jika obat ini digunakan bersama obat penenang, obat antidepresan, atau obat antihistamin lain, bisa terjadi efek kantuk yang berat dan efek_samping yang bisa berakibat fatal
23|Tidak ada informasi adanya interaksi_obat saat Laserin digunakan bersama zat aktif lainnya
24|Belum ada informasi terkait interaksi_obat OB Herbal dengan zat aktif lain
25|Belum didapatkan informasi terkait interaksi_obat batuk ibu dan anak dengan obat lainnya
27|Amonium klorida dapat menurunkan kadar obat methylâ€‹enedioxyâ€‹methamphetamine, lisdexamfetamine, pseudoephedrine, dan dextroamphetamine
27|Ammonium chloride dan diclofenamide dapat menurunkan kadar kalium
27|Beri tahu dokter atau apoteker jika kamu sedang mengonsumsi suplemen, produk herbal, atau obat lain
31|Bila digunakan bersama obat golongan antidepresan golongan monoamine oxidase inhibitors MAOIs, seperti isocarboxazid
31|obat ini bisa meningkatkan efek kantuk dan efek_samping yang bisa berakibat fatal
32|Dapat mempotensiasi depresan sistem saraf pusat lainnya
32|Tindakan yang diperpanjang oleh monoamine oxidase inhibitors MAOI
33|Berikut adalah beberapa obat yang dapat berinteraksi dengan Sanadryl Expectorant: Golongan depresan sistem saraf pusat lainnya, Golongan obat MAOI
34|Dapat terjadi rangsangan SSP dan depresi pernapasan yang berat pada pemberian bersamaan dengan penghambat MAO
35|Pemberian bersamaan dengan antibiotika amoksisilin, sefuroksim, doksisiklin akan meningkatkan konsentrasi antibiotik
36|Dapat terjadi rangsangan susunan saraf pusat dan depresi pernapasan yang berat pada pemberian bersamaan dengan penghambat MAO
37|Penggunaan secara bersamaan dengan inhibitor MAO dapat menyebabkan stimulasi CNS dan depresi pernapasan berat
39|Penggunaan bersamaan antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
40|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
41|Kombinasi dengan MAO inhibitor dan menyebabkan peningkatan tekanan darah drastis, memperpanjang masa kerja, dan meningkatkan efek antihistamin
41|Kolestiramin dapat menurunkan penyerapan paracetamol
41|Kombinasi metoclopramide dan domperidone dapat meningkatkan toksisitas dari paracetamol
41|Penggunaan bersama warfarin dapat meningkatkan kadar warfarin
41|Penggunaan bersama dengan alkohol, antidepresan, dan barbiturate akan memperkuat efek sedatif menimbulkan efek kantuk yang kuat
41|Glycyrrhizae yang dikombinasikan dengan digoksin dapat meningkatkan toksisitas dari digoksin
41|Kombinasi dengan furosemide dapat menurunkan kadar kalium
42|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
43|Penggunaan bersama anti depresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
44|Obat antidepresan golongan MAOI akan menyebabkan krisis hipertensi bila diberikan secara bersamaan dengan Sanaflu
45|Penggunaan bersamaan antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
46|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
47|Kombinasi dengan MAO inhibitor dan menyebabkan peningkatan tekanan darah drastis, memperpanjang masa kerja, dan meningkatkan efek antihistamin
47|Kolestiramin dapat menurunkan penyerapan paracetamol
47|Kombinasi metoclopramide dan domperidone dapat meningkatkan toksisitas dari paracetamol
47|Penggunaan bersama warfarin dapat meningkatkan kadar warfarin
47|Penggunaan bersama dengan alkohol, antidepresan, dan barbiturate akan memperkuat efek sedatif menimbulkan efek kantuk yang kuat
47|Glycyrrhizae yang dikombinasikan dengan digoksin dapat meningkatkan toksisitas dari digoksin
47|Kombinasi dengan furosemide dapat menurunkan kadar kalium
48|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
49|Obat antidepresan golongan MAOI akan menyebabkan krisis hipertensi bila diberikan secara bersamaan dengan Sanaflu
50|Penggunaan yang bersamaan antara Actifed PLUS Cough Suppressant dengan obat-obat simpatomimetik seperti dekongestan, antidepresan trisiklik, penekan nafsu makan, dan psikostimulan sejenis amphetamine, atau dengan penghambat monoamin oksidase yang mengganggu katabolisme dari simpatomimetik amin, kadang-kadang dapat menyebabkan peningkatan tekanan darah lihat Kontraindikasi
50|Peringatan dan Perhatian. Karena Actifed PLUS Cough Suppressant mengandung Pseudoephedrine HCI, Actifed PLUS Cough Suppressant dapat memperlemah sebagian daya kerja hipotensif dari obat yang mengganggu aktivitas simpatetik termasuk bretylium, bethanidine bretytium, quanethidine, debrisoquine, methyldopa, dan obat-obat penghambat adrenergik beta dan alpha
50|Lihat Peringatan dan Perhatian. Antibakteri furazolidone diketahui dapat menyebabkan penghambatan monoamin oksidase yang tergantung dari dosisnya. Meskipun tidak ada laporan mengenai terjadinya krisis hipertensi, sebaiknya furazilidone tidak diberikan bersamaan dengan Actifed PLUS Cough Suppressant
50|Meskipun tidak ada data yang objektif, penggunaan Actifed PLUS Cough Suppressant bersamaan dengan alkohol atau obat sedatif lainnya yang bekerja pada susunan saraf pusat harur dihindari
51|Penggunaan yang bersamaan antara Actifed PLUS Cough Suppressant dengan obat-obat simpatomimetik seperti dekongestan, antidepresan trisiklik, penekan nafsu makan, dan psikostimulan sejenis amphetamine, atau dengan penghambat monoamin oksidase yang mengganggu katabolisme dari simpatomimetik amin, kadang-kadang dapat menyebabkan peningkatan tekanan darah lihat Kontraindikasi
51|Peringatan dan Perhatian. Karena Actifed PLUS Cough Suppressant mengandung Pseudoephedrine HCI, Actifed PLUS Cough Suppressant dapat memperlemah sebagian daya kerja hipotensif dari obat yang mengganggu aktivitas simpatetik termasuk bretylium, bethanidine bretytium, quanethidine, debrisoquine, methyldopa, dan obat-obat penghambat adrenergik beta dan alpha
51|Lihat Peringatan dan Perhatian. Antibakteri furazolidone diketahui dapat menyebabkan penghambatan monoamin oksidase yang tergantung dari dosisnya. Meskipun tidak ada laporan mengenai terjadinya krisis hipertensi, sebaiknya furazilidone tidak diberikan bersamaan dengan Actifed PLUS Cough Suppressant
51|Meskipun tidak ada data yang objektif, penggunaan Actifed PLUS Cough Suppressant bersamaan dengan alkohol atau obat sedatif lainnya yang bekerja pada susunan saraf pusat harur dihindari
52|Tidak boleh diberikan secara bersamaan dengan obat antidepresan golongan MAOI
53|Silex Sirup 100 Ml mengandung sejumlah bahan herbal. Belum diketahui interaksi pasti jika obat ini digunakan Bersama suplemen, obat, atau produk herbal lain
53|Namun, thyme yang terkandung di dalamnya bisa meningkatkan risiko terjadinya perdarahan jika digunakan bersama obat pengencer darah, Selalu konsultasikan dengan dokter jika Anda berencana mengonsumsi Silex Sirup 100 Ml bersama obat lain
54|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
55|Dapat terjadi rangsangan susunan saraf pusat dan depresi pernafasan yang berat pada pemberian bersamaan dengan penghambat MAO
56|Peningkatan risiko terjadinya memar atau perdarahan jika digunakan dengan nifedipine, serta antikoagulan atau antiplatelet, seperti phenprocoumon atau warfarin
56|Peningkatan risiko terjadinya efek_samping dari losartan, cyclosporine, dan metronidazole
56|Peningkatan risiko penurunan tekanan darah secara berlebihan jika digunakan dengan antagonis kalsium, antihipertensi, atau diuretik
56|Peningkatan risiko penurunan kadar gula darah secara berlebihan jika digunakan dengan obat diabetes
58|Tidak ada laporan interaksi klinis yang tidak menyenangkan dengan obat ini
59|Tidak ada laporan interaksi klinis yang tidak menyenangkan dengan obat ini
60|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
61|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
62|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
63|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan resiko hipertensi
64|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan resiko hipertensi
65|Paracetamol dosis tinggi dapat memperkuat efek obat warfarin
65|Penggunaan bersamaan dengan obat antikejang atau obat antituberkulosis isoniazid jangka panjang dapat meningkatkan risiko kerusakan hati
65|Obat penghambat MAO seperti antidepresi dan anti-Parkinson memperkuat efek phenylephrine Obat golongan alfa-bloker dan beta-bloker dapat efek phenylephrine
65|Penggunaan guaifenesin bersamaan dengan antibiotika amoksisilin, sefuroksim dan doksisiklin akan meningkatkan kadar antibiotik dalam darah
66|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
67|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
68|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
69|Paracetamol dapat berinteraksi dengan antikoagulan oral dan antidiuretik hormon
69|Chlorphenamine dapat menghalangi metabolisme fenitoin
70|Obat batuk dan pilek Triaminic sebaiknya tidak digunakan bersamaan dengan
70|Obat golongan simpatomimetik
70|Obat antidepresan, terutama golongan SSP
70|Zat anestesi berhalogenasi
71|Penggunaan bersamaan dengan obat anti depresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
71|Antasida dapat meningkatkan efek Pseudoephedrin HCI
71|Penggunaan bersamaan dengan alkohol, depresan SSP, anti kolinergik dapat mengakibatkan mengantuk, pusing, hilang koordinasi otot dan kewaspadaan mental
72|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
73|Penggunaan bersamaan dengan obat antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
74|Penggunaan bersamaan dengan inhibitor penghambat monoamin oksidase di kontra-indikasikan
74|Penggunaan bersamaan dapat memperpanjang dan meningkatkan efek-efek Pseudoephedrine HCI pada perangsangan jantung dan vasopresor, yang berakibat pada krisis hipertensi danatau krisis hiperpireksia. Interaksi ini masih mungkin berlanjut sampai 2 minggu setelah penggunaan inhibitor penghambat MAO
74|Pseudoephedrine HCl dapat mengurangi efek beberapa zat obat antihipertensi guanetidin dan turunannya
74|Pseudoephedrine HCI dapat berinteraksi dengan obat-obat anestesi berhalogen
74|Efek pengobatan yang bekerja sentral simpatomimetika, antidepresi dapat ditingkatkan oleh Pseudoephedrine HCI atau Chlorphenamine maleate
75|Hindari penggunaan bersamaan dengan obat antidepresan golongan MAOI dapat menyebabkan hipertensi
75|Informasikan pada dokter jika sedang mengonsumsi suplemen, obat lain atau produk herbal
76|Penggunaan Rhinos Neo bersama dengan obat antidepresan golongan MAOI dapat menyebabkan hipertensi
76|Beritahu dokter jika kamu sedang mengonsumsi suplemenobat kimia, atau produk herbal lain untuk menghindari risiko interaksi
77|Penggunaan bersamaan dengan anti depresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
78|Tidak ada laporan interaksi klinis yang tidak menyenangkan dengan obat ini
79|Penggunaan bersamaan dengan antitussive dapat menyebabkan penghentian sekresi yang berbahaya seiring berkurangnya batuk. Oleh sebab itu, kombinasi kedua obat ini dapat digunakan dengan beberapa perhatian
79|Penggunaan bersamaan dengan tetracycline HCI bagian dari doxycycline harus dilakukan dengan interval sekurangnya 2 jam. Hal ini tidak perlu dilakukan pada penggunaan bersamaan dengan Loracarbef
79|Penggunaan bersamaan dengan nitroglycerin kemungkinan dapat menyebabkan peningkatan efek vasodilating dan aliran darah dari nitroglycerin
80|Interaksi guaifenesin dengan obat lain belum diketahui. Meski begitu, tidak menutup kemungkinan guaifenesin dapat berinteraksi dengan obat atau bahan aktif tertentu
81|Penggunaan bersama anti depresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
82|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
83|Penggunaan bersama antidepresan tipe penghambat Monoamin oksidase MAOIs dapat mengakibatkan krisis hipertensi, Sebelum menggunakan obat ini, konsultasikan dengan dokter atau farmasis mengenai obat lain yang anda konsumsi
84|Penggunaan bersamaan antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
85|Penggunaan bersama anti depresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
86|Hindari penggunaan Tuzalos bersama dengan obat-obat berikut MAOI, dapat mengakibatkan krisis hipertensi. fluoxetine, paroxetine, quinidine, terbinafine
87|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
88|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
89|Peningkatan risiko terjadinya efek_samping paracetamol jika dikonsumsi bersama metoclopramide, domperidone, probenecid, atau isoniazid
90|Penggunaan bersamaan dengan obat antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
91|Penggunaan bersama anti depresan tipe penghambat MAD dapat mengakibatkan krisis hipertensi
92|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
93|Karena mengandung dextromethorphan, Grantusif sebaiknya tidak digunakan bersama dengan obat-obatan ini paroxetine, fluoxetine, terbinafine, quinidine, obat golongan MAOI
94|Dapat terjadi rangsangan SSP dan depresi pernapasan yang berat pada pemberian bersamaan dengan penghambat MAO
96|Belum ada informasi terkait interaksi Komix Herbal dengan zat aktif lain
97|Belum ada informasi terkait interaksi Komix Herbal dengan zat aktif lain
98|Belum ada informasi terkait interaksi Komix Herbal dengan zat aktif lain
99|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
100|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
101|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
102|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
103|Periggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
104|Penggunaan bersama dengan antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
105|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
106|Penggunaan bersama anti depresan tipe penghambat MAD dapat mengakibatkan krisis hipertensi
107|Paracetamol dosis tinggi dapat memperkuat efek obat Warfarin
107|Penggunaan bersamaan dengan obat antikejang atau obat antituberkulosis isoniazid jangka panjang dapat meningkatkan risiko kerusakan hati
107|Obat penghambat MAO seperti antidepresi dan anti-Parkinson dapat memperkuat efek Pseudoephedrine HCl
107|Penggunaan bersamaan dengan alkohol
107|obat tidur dan obat penenang dapat meningkatkan efek mengantuk
108|Penggunaan bersama anti depresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
108|Dapat menyebabkan kantuk
109|Obat antidepresan golongan MAOI akan menyebabkan krisis hipertensi bila diberikan secara bersamaan dengan Sanaflu
110|Interaksi obat dapat terjadi saat Ultraflu dikonsumsi bersama beberapa zat aktif berikut Pemberian bersama dengan kelompok obat monoamine oxidase inhibitors MAOI seperti isocarboxazid
110|linezolid
110|phenelzine
110|rasagiline
110|selegiline dapat memicu naiknya tekanan darah secara tiba-tiba
111|Penggunaan bersama antidepresan tipe penghambat MAO dapat mengakibatkan krisis hipertensi
