id_obat|jangka_waktu_penggunaan
0|Jangan digunakan selama 2 minggu
1|bukan untuk dikonsumsi secara rutin atau jangka panjang
3|Tidak dianjurkan digunakan terus menerus lebih dari 2 minggu, kecuali atas petunjuk dokter karena dapat menimbulkan ketergantungan fungsi lambung
4|Tidak dianjurkan digunakan terus menerus lebih dari 2 minggu, kecuali atas petunjuk dokter karena dapat menimbulkan ketergantungan fungsi lambung
5|Tidak dianjurkan untuk digunakan secara terus menerus selama lebih dari 2 minggu, kecuali atas petunjuk dokter
6|Obat ini dapat bekerja cepat, tetapi tidak boleh digunakan untuk jangka panjang
8|Tidak dianjurkan untuk anak-anak dibawah 6 tahun, dan hati-hati diberikan pada penderita dengan diet rendah phospor dan pemakaian yang lama
9|Tidak dianjurkan untuk anak-anak dibawah 6 tahun, dan hati-hati diberikan pada penderita dengan diet rendah phospor dan pemakaian yang lama
10|Tidak dianjurkan untuk menggunakan Polycrol Forte Tablet lebih dari 2 minggu, kecuali atas petunjuk dokter
11|Polysilane hanya dikonsumsi saat dibutuhkan, bukan untuk konsumsi jangka panjang
12|Polysilane hanya dikonsumsi saat dibutuhkan, bukan untuk konsumsi jangka panjang
13|Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang
14|Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang
15|Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang
16|Promag hanya dikonsumsi saat dibutuhkan, bukan untuk dikonsumsi rutin atau jangka panjang
17|Jangan mengonsumsi Bisolvon lebih dari 14 hari, kecuali jika disarankan oleh dokter
18|Obat ini tidak bisa digunakan jangka panjang
19|Obat ini tidak bisa digunakan jangka panjang
20|Jangan menggunakan lebih dari dosis yang dianjurkan Lama pengobatan 5 - 10 hari
22|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
23|Tidak boleh digunakan lebih dari 6 minggu tanpa anjuran dokter
24|Jangan memberikan OB Herbal Junior Sirup ke anak dalam jangka panjang, selama 6 minggu
26|Bukan Untuk Jangka Panjang
27|Bukan Untuk Jangka Panjang
28|Bukan Untuk Jangka Panjang
29|Bukan Untuk Jangka Panjang
30|Bukan Untuk Jangka Panjang
31|mengonsumsi Phenacold dalam dosis besar dan jangka panjang bisa menyebabkan gangguan hati
32|Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER
33|Dalam penggunaan obat ini HARUS SESUAI DENGAN PETUNJUK DOKTER
34|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
35|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
36|ketika penggunaan Vicks VapoRub dalam jangka panjang atau berlebihan menyebabkan bentuk pneumonia yang langka
37|Wood Pepermint bukan untuk dikonsumsi secara berulang-ulang atau dalam jangka panjang
38|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
39|Produk ini biasanya tidak boleh digunakan untuk batuk berkelanjutan akibat merokok atau masalah pernapasan jangka panjang seperti bronkitis
40|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
41|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
42|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
43|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
44|Dalam jangka panjang penggunaan paracetamol dapat merusak organ hati dan meningkatkan tekanan darah
45|Produk ini biasanya tidak boleh digunakan untuk batuk berkelanjutan akibat merokok atau masalah pernapasan jangka panjang seperti bronkitis
46|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
47|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
48|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
49|Dalam jangka panjang penggunaan paracetamol dapat merusak organ hati dan meningkatkan tekanan darah
52|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
53|Dalam kasus yang jarang terjadi, sejumlah efek_samping ringan tersebut bisa menjadi parah jika dikonsumsi dalam jangka panjang tanpa resep dokter
54|Penggunaan jangka panjang menyebabkan kerusakan hati
55|hindari penggunaan jangka panjang
56|Tidak untuk digunakan lebih dari 6 minggu
57|hindari penggunaan jangka panjang
58|Jangan menggunakan obat lebih dari 14 hari tanpa anjuran dari dokter
59|Jangan menggunakan obat lebih dari 14 hari tanpa anjuran dari dokter
60|potensi terjadinya kerusakan hati sangat tinggi terutama pada pemakaian jangka panjang
61|pada penggunaan jangka panjang, dapat meningkatkan resiko kerusakan ginjal termasuk gagal ginjal akut
62|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
63|konsumsi dalam jangka panjang akan berpengaruh ke tubuh
64|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
65|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
66|bisa menyebabkan adanya kerusakan fungsi hati dan reaksi hipersensitivitas
67|bisa menyebabkan adanya kerusakan fungsi hati dan reaksi hipersensitivitas
68|dapat meningkatkan resiko kerusakan ginjal termasuk gagal ginjal akut
69|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
70|Tidak semua orang boleh menggunakan obat ini dalam jangka waktu lama
71|konsumsi dalam jangka panjang akan berpengaruh ke tubuh
72|pada penggunaan jangka panjang, dapat meningkatkan resiko kerusakan ginjal termasuk gagal ginjal akut
73|sebaiknya Anda tidak mengonsumsi obat jangka panjang untuk mengatasi gejala agar terhindar dari risiko bahaya pada tubuh
74|Tidak semua orang boleh menggunakan obat ini dalam jangka waktu lama
75|Obat ini hanya boleh digunakan untuk jangka pendek
76|Obat ini hanya boleh digunakan untuk jangka pendek
77|konsumsi dalam jangka panjang akan berpengaruh ke tubuh
78|Jangan menggunakan obat lebih dari 14 hari tanpa anjuran dari dokter
79|hindari penggunaan jangka panjang
80|tidak boleh dikonsumsin dalam jangka panjang
81|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan fungsi hati
82|jika digunakan dalam jangka panjang dan dalam dosis yang tinggi, dapat menimbulkan risiko penyakit ginjal
83|tidak untuk digunakan dalam jangka panjang
84|Jangan mengonsumsi produk Paramex lebih dari 5 hari kecuali disarankan oleh dokter
85|mengonsumsi Procold dalam dosis besar dan jangka panjang bisa menyebabkan gangguan hati yang bisa ditandai dengan mual, lemas, nyeri perut bagian atas, hilang nafsu makan, dan penyakit kuning
86|Penggunaan dalam jangka panjang dapat menyebabkan kerusakan hati
87|jika digunakan dalam jangka panjang dan dalam dosis yang tinggi, dapat menimbulkan risiko penyakit ginjal
88|penggunaan jangka panjang, dapat meningkatkan resiko kerusakan ginjal
89|Penggunaan dosis besar dan jangka panjang dilaporkan bisa menyebabkan kerusakan hati
90|tidak disarankan untuk penggunaan jangka panjang
91|tidak untuk digunakan dalam jangka panjang
92|tidak disarankan untuk penggunaan jangka panjang
93|tidak boleh dikonsumsin dalam jangka panjang
94|Penggunaannya harus tepat dosis dan tidak boleh digunakan dalam jangka waktu yang lama tanpa indikasi atau pengawasan yang ketat dari dokter
95|tidak boleh dikonsumsin dalam jangka panjang
96|tidak boleh dikonsumsin dalam jangka panjang
97|tidak boleh dikonsumsin dalam jangka panjang
98|tidak boleh dikonsumsin dalam jangka panjang
99|penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
100|tidak untuk digunakan dalam jangka panjang
101|tidak untuk digunakan dalam jangka panjang
102|tidak untuk digunakan dalam jangka panjang
103|Penggunaan dosis besar dan jangka panjang menyebabkan kerusakan hati
104|tidak untuk digunakan dalam jangka panjang
105|tidak untuk digunakan dalam jangka panjang
106|tidak boleh digunakan lebih dari seminggu
107|Obat ini tidak disarankan untuk digunakan dalam jangka panjang
108|Penggunaan dosis besar dam jangka panjang menyebabkan kerusakan hati
109|pada penggunaan jangka panjang, dapat meningkatkan resiko kerusakan ginjal termasuk gagal ginjal akut
110|Penggunaan obat dalam dosis besar dan jangka panjang dapat menyebabkan kerusakan hati
111|tidak disarankan untuk penggunaan jangka panjang
